tenure month,loan fee,loan,mobile transactions,mobile transactions value,mobile services,app users,TOTAL_INFLOW,SALARY_STATUS,TOTAL_OUTFLOW,age,gender,is_default
5,4.7,10680,0,0,0,0,0,0,0,25,M,Y
21,9.6,9120,13,2922000,3,0,3000000,0,2994764,36,M,N
28,10.9,57900,0,0,0,0,0,0,502900,25,M,Y
2,4.7,1090.0222,0,0,0,0,281400,1,148931,32,F,Y
21,9.6,71250,34,502000,6,0,1548399,1,1265621,32,F,N
28,10.9,11580,0,0,0,0,353597,1,351355,35,M,N
14,7.8,28964,4,0,1,0,836622,0,662400,25,M,Y
14,7.8,55700,113,9025000,9,0,14250000,0,16374108,33,M,N
21,9.6,68400,25,885000,2,0,1921850,1,1675230,46,M,N
14,7.8,55700,12,143000,4,0,24384,0,189341,23,M,Y
21,9.6,68400,2,0,1,0,1097900,1,1073650,37,M,Y
21,9.6,12540,4,46000,3,0,200000,0,704593,22,F,N
7,6.6,13261.6,9,474500,4,0,820425,1,819999,52,M,N
21,9.6,139159.8,22,59000,2,1,2448462,0,2250588,33,M,Y
28,10.9,57900,2,32700,2,0,231462,1,262208,29,M,N
14,7.8,27850,0,0,0,0,0,0,0,40,M,N
28,10.9,90324,18,57000,2,1,557375,0,385230,26,M,Y
28,10.9,72375,10,65500,5,0,177900,0,132000,58,M,N
2,4.7,2560.5193,5,49000,1,0,700395,1,860144,26,M,Y
2,4.7,1850.1818,1,2000,1,0,349200,1,352800,30,M,Y
21,9.6,57000,0,0,0,0,410000,0,1800,41,M,Y
28,10.9,72375,1,0,1,0,57900,0,56279,42,M,N
1,4.7,3651.9726,3,14000,1,0,951000,0,967850,27,M,Y
28,10.9,14011.8,16,26000,5,0,332968,1,237476,26,M,N
5,4.7,18156,14,17000,2,0,875178,0,881575,37,M,N
5,4.7,4272,9,445000,3,0,487736,0,484364,25,M,Y
28,10.9,9264,2,12000,2,0,19960,0,27957,20,M,Y
5,4.7,5340,14,162000,3,0,331372,1,219145,32,M,Y
5,4.7,5126.4,14,162000,3,0,331372,1,219145,32,M,Y
21,9.6,11400,20,268000,3,0,408223,1,296100,47,M,Y
7,6.6,54800,6,30000,3,0,1014353,1,1093460,34,M,Y
28,10.9,57900,5,47500,3,0,85000,0,271627,23,M,N
28,10.9,72375,85,1250200,8,1,1700790,1,2658702,32,M,N
28,10.9,12738,13,3056000,3,1,7394905,1,6966996,47,M,Y
21,9.6,10032,17,350500,5,0,2158913,1,2217379,34,M,N
14,7.8,13925,5,54000,3,0,150000,0,273083,35,F,Y
28,10.9,12738,4,3000,2,1,415400,0,316900,38,M,N
21,9.6,88920,5,0,1,0,2175895,1,2480840,29,M,Y
21,9.6,85500,10,83000,3,1,135260,0,137780,43,M,N
7,6.6,43840,4,159000,3,0,1754662,0,1768322,30,F,N
21,9.6,5700,4,4000,2,0,1500000,0,998900,33,F,Y
21,9.6,102600,20,276000,6,0,871400,0,917375,57,M,N
2,4.7,7261.3427,0,0,0,0,0,0,0,22,M,Y
21,9.6,35625,25,737500,7,0,1541500,1,1610350,60,M,N
21,9.6,62700,10,142000,3,0,461016,1,460212,31,F,Y
14,7.8,14593.4,8,0,1,0,70850,0,54970,36,M,N
2,4.7,7260.264,0,0,0,0,0,0,0,27,F,N
2,4.7,1015.668,0,0,0,0,0,0,0,27,F,Y
28,10.9,1158,0,0,0,0,0,0,0,27,F,Y
28,10.9,9264,6,492000,3,0,1377537,1,892936,41,M,Y
28,10.9,26634,4,16000,3,0,48160,0,47570,27,M,N
28,10.9,57900,22,164000,5,1,1082284,1,1143024,45,M,N
28,10.9,11580,44,863350,10,0,1388500,0,1397250,40,M,N
21,9.6,26220,3,20500,2,0,142280,0,227080,37,M,N
21,9.6,9120,4,13000,3,0,23400,0,24400,48,M,N
14,7.8,34534,29,2321500,6,0,1245900,1,2432121,28,M,N
21,9.6,70680,39,931000,5,0,3830078,1,5868698,43,M,N
28,10.9,15054,13,6500,3,0,301896,0,304034,29,M,Y
1,4.7,1655.3893,5,53000,3,0,750000,0,751551,22,F,Y
28,10.9,30108,37,576000,4,0,1053093,0,787720,49,M,N
2,4.7,1045.1662,1,60000,1,0,1433647,1,1442400,30,M,N
21,9.6,35625,12,183550,7,0,2248500,0,1976795,44,M,Y
2,4.7,4921.3654,13,421000,3,0,2023023,1,2052360,48,M,Y
2,4.7,4485.6,13,421000,3,0,2023023,1,2052360,48,M,N
21,9.6,57000,19,6527000,4,0,8712399,1,7793851,38,M,Y
21,9.6,12540,5,7500,2,0,192210,1,381900,34,M,N
2,4.7,1894.365,28,191500,4,0,322862,0,290185,25,M,Y
2,4.7,3772.176,28,191500,4,0,322862,0,290185,25,M,Y
21,9.6,71250,9,700000,2,0,18864500,0,18830770,42,F,Y
14,7.8,69625,2,0,1,0,1257000,0,1362400,43,M,N
28,10.9,11209.44,32,5759000,6,1,5882978,1,5882768,38,M,Y
14,7.8,16710,22,421600,2,0,650300,0,1187035,31,F,Y
28,10.9,26634,27,83300,3,0,60105,0,218005,26,F,N
21,9.6,61560,32,1015000,6,1,2247831,1,2561837,37,M,N
2,4.7,8447.4955,32,1015000,6,1,2247831,1,2561837,37,M,Y
21,9.6,45858.78,9,0,1,0,239415,0,238973,46,F,N
21,9.6,29640,8,1453000,3,0,1555130,0,1555076,30,F,N
21,9.6,88920,5,40000,2,0,213250,0,117950,41,M,Y
28,10.9,28950,16,2242000,5,0,7347875,1,7346578,50,M,Y
2,4.7,1867.932,9,79900,3,0,1540000,0,1568233,53,M,N
21,9.6,68400,25,1642000,2,0,2599919,1,2895304,37,M,Y
21,9.6,11400,0,0,0,0,0,0,0,45,M,N
21,9.6,88920,3,0,1,0,897440,1,1111851,37,M,Y
14,7.8,35648,18,5429000,4,0,867356,1,6041982,39,M,Y
27,10.9,23160,0,0,0,0,39,0,2755,26,M,N
21,9.6,57000,0,0,0,0,0,0,1887400,51,M,N
21,9.6,57000,17,214000,4,0,0,0,270450,44,M,N
21,9.6,13110,2,7000,2,0,30425,0,10362,22,M,N
7,6.6,10960,0,0,0,0,0,0,350501,44,M,N
